date,depart,daylight,tmax,tmin,tavg,dew_point,wet_bulb,heat,cool,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed
2007-05-01,14,1401,83.5,51.0,67.0,51.0,56.5,0.0,2.5,0.0,29.14,29.82,2.2,26.0,9.4
2007-05-02,-3,1403,59.5,42.5,50.5,42.0,47.0,13.5,0.0,0.0,29.41,30.08,13.15,3.0,13.4
2007-05-03,2,1405,66.5,47.0,56.5,40.0,49.0,8.0,0.0,0.0,29.42,30.12,12.3,6.5,12.55
2007-05-04,4,1408,72.0,50.0,60.5,41.5,50.0,3.5,0.0,0.0,29.34,30.04,10.25,7.5,10.6
2007-05-05,5,1410,66.0,53.5,59.5,38.5,49.5,5.0,0.0,0.0,29.43,30.1,11.45,7.0,11.75
2007-05-06,4,1413,68.0,50.5,59.0,30.0,46.0,5.5,0.0,0.0,29.6,30.28,14.1,10.5,14.75
2007-05-07,10,1415,83.5,48.5,66.0,40.0,53.5,0.0,1.0,0.0,29.41,30.12,8.55,17.5,10.2
2007-05-08,12,1418,81.0,57.0,69.0,57.5,62.5,0.0,4.0,0.0,29.32,30.02,2.6,9.5,5.6
2007-05-09,13,1420,76.5,62.0,69.0,59.5,63.0,0.0,4.5,0.08,29.24,29.94,3.9,8.0,6.05
2007-05-10,14,1422,83.5,57.5,70.5,52.0,60.5,0.0,5.5,0.0,29.23,29.92,1.35,13.0,4.0
2007-05-11,4,1424,71.5,50.0,60.5,43.0,51.0,4.0,0.0,0.0,29.36,30.04,11.5,19.5,12.85
2007-05-12,-2,1466,64.5,46.5,55.5,36.5,46.0,9.5,0.0,0.0,29.52,30.2,12.55,2.0,12.95
2007-05-13,-2,1468,69.0,43.5,56.0,32.5,46.0,8.5,0.0,0.0,29.52,30.24,6.5,12.5,7.85
2007-05-14,15,1470,90.0,55.0,72.5,46.0,58.5,0.0,7.5,0.0,29.27,29.98,15.5,21.0,15.95
2007-05-15,11,1472,81.0,56.5,68.5,56.0,61.0,0.0,4.0,0.49,29.16,29.84,8.1,26.0,11.55
2007-05-16,-4,1474,65.0,44.5,54.5,42.5,47.5,10.0,0.0,0.11,29.36,30.03,7.9,36.0,12.0
2007-05-17,-6,1476,61.5,43.5,52.0,32.0,43.0,12.0,0.0,0.0,29.58,30.27,11.1,2.0,11.75
2007-05-18,-3,1478,70.5,42.5,56.0,30.5,46.5,8.0,0.0,0.0,29.56,30.26,4.4,23.5,6.5
2007-05-19,8,1480,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.38,30.08,11.1,23.5,11.4
2007-05-20,-5,1482,69.0,43.5,56.0,40.5,44.5,8.5,0.0,0.09,29.41,30.11,9.5,3.5,10.2
2007-05-21,1,1484,79.5,45.0,62.0,50.0,56.5,2.5,0.0,0.0,29.36,30.06,6.3,10.5,8.0
